trial,opponent,seed,opponent_rng,winner,game_points,score,aggressive_moves,defensive_moves
170,RandBot,1984318690,1984318691,RandBot,1,72,0,1446
171,RandBot,1603712059,1603712060,AdaptiveBot,2,84,0,1454
172,RandBot,3271250189,3271250190,AdaptiveBot,1,68,0,1464
173,RandBot,2890643558,2890643559,AdaptiveBot,1,74,0,1474
174,RandBot,2510036927,2510036928,RandBot,2,82,0,1482
175,RandBot,2030091409,2030091410,RandBot,3,68,0,1487
176,RandBot,1649484778,1649484779,AdaptiveBot,1,78,0,1497
177,RandBot,3317022908,3317022909,AdaptiveBot,1,56,0,1507
178,RandBot,2936416277,2936416278,RandBot,1,67,0,1515
179,RandBot,2456470759,2456470760,AdaptiveBot,1,61,0,1525
180,RandBot,2075864128,2075864129,AdaptiveBot,1,75,0,1534
181,RandBot,1695257497,1695257498,AdaptiveBot,1,67,0,1543
182,RandBot,3362795627,3362795628,AdaptiveBot,1,71,0,1553
183,RandBot,834705348,834705349,AdaptiveBot,1,94,0,1561
184,RandBot,2502243478,2502243479,RandBot,2,67,0,1569
185,RandBot,2121636847,2121636848,AdaptiveBot,2,74,0,1576
186,RandBot,1741030216,1741030217,AdaptiveBot,2,75,0,1583
187,RandBot,1261084698,1261084699,AdaptiveBot,1,57,0,1593
188,RandBot,880478067,880478068,RandBot,3,66,0,1599
189,RandBot,2548016197,2548016198,AdaptiveBot,1,68,0,1608
190,RandBot,2167409566,2167409567,AdaptiveBot,1,64,0,1618
191,RandBot,1687464048,1687464049,RandBot,2,78,0,1627
192,RandBot,1306857417,1306857418,AdaptiveBot,2,78,0,1636
193,RandBot,926250786,926250787,AdaptiveBot,2,67,0,1643
194,RandBot,2593788916,2593788917,AdaptiveBot,1,84,0,1653
195,RandBot,2213182285,2213182286,RandBot,2,74,0,1660
196,RandBot,1733236767,1733236768,AdaptiveBot,2,73,0,1669
197,RandBot,1352630136,1352630137,AdaptiveBot,1,82,0,1678
198,RandBot,3020168266,3020168267,AdaptiveBot,2,75,0,1685
199,RandBot,2639561635,2639561636,AdaptiveBot,1,78,0,1695
200,RandBot,111471356,111471357,AdaptiveBot,1,61,0,1705
201,RandBot,1779009486,1779009487,AdaptiveBot,2,120,0,1713
202,RandBot,1398402855,1398402856,RandBot,2,69,0,1721
203,RandBot,3065940985,3065940986,RandBot,3,72,0,1726
204,RandBot,537850706,537850707,AdaptiveBot,1,71,0,1736
205,RandBot,157244075,157244076,AdaptiveBot,1,67,0,1744
206,RandBot,1824782205,1824782206,AdaptiveBot,1,62,0,1754
207,RandBot,1444175574,1444175575,RandBot,2,67,0,1761
208,RandBot,964230056,964230057,AdaptiveBot,1,64,0,1771
209,RandBot,583623425,583623426,AdaptiveBot,1,68,0,1781
210,RandBot,2251161555,2251161556,AdaptiveBot,2,111,0,1790
211,RandBot,1870554924,1870554925,RandBot,1,67,0,1799
212,RandBot,3637431941,3637431942,RandBot,3,70,0,1803
213,RandBot,1010002775,1010002776,RandBot,3,73,0,1808
214,RandBot,629396144,629396145,AdaptiveBot,1,60,0,1818
215,RandBot,2296934274,2296934275,AdaptiveBot,1,74,0,1826
216,RandBot,4063811291,4063811292,AdaptiveBot,1,72,0,1836
217,RandBot,1436382125,1436382126,RandBot,2,66,0,1843
218,RandBot,1055775494,1055775495,AdaptiveBot,1,80,0,1851
219,RandBot,675168863,675168864,AdaptiveBot,3,66,0,1856
220,RandBot,2342706993,2342706994,AdaptiveBot,1,64,0,1866
221,RandBot,4109584010,4109584011,AdaptiveBot,2,80,0,1875
222,RandBot,1482154844,1482154845,AdaptiveBot,1,70,0,1883
223,RandBot,1101548213,1101548214,RandBot,2,66,0,1890
224,RandBot,2769086343,2769086344,RandBot,2,75,0,1897
225,RandBot,240996064,240996065,AdaptiveBot,1,63,0,1907
226,RandBot,4155356729,4155356730,AdaptiveBot,1,66,0,1917
227,RandBot,1527927563,1527927564,AdaptiveBot,2,75,0,1924
228,RandBot,1147320932,1147320933,AdaptiveBot,1,78,0,1934
229,RandBot,667375414,667375415,AdaptiveBot,2,72,0,1941
230,RandBot,286768783,286768784,RandBot,2,72,0,1948
231,RandBot,4201129448,4201129449,AdaptiveBot,1,58,0,1958
232,RandBot,1573700282,1573700283,RandBot,3,73,0,1963
233,RandBot,3340577299,3340577300,AdaptiveBot,2,66,0,1971
234,RandBot,713148133,713148134,AdaptiveBot,1,98,0,1980
235,RandBot,332541502,332541503,AdaptiveBot,1,68,0,1989
236,RandBot,2000079632,2000079633,AdaptiveBot,1,57,0,1999
237,RandBot,3766956649,3766956650,RandBot,1,66,0,2008
238,RandBot,3386350018,3386350019,AdaptiveBot,1,92,0,2015
239,RandBot,758920852,758920853,RandBot,1,69,0,2025
240,RandBot,378314221,378314222,AdaptiveBot,1,102,0,2034
241,RandBot,4193335999,4193336000,AdaptiveBot,1,65,0,2044
242,RandBot,3812729368,3812729369,AdaptiveBot,1,107,0,2053
243,RandBot,1185300202,1185300203,AdaptiveBot,2,75,0,2062
244,RandBot,804693571,804693572,AdaptiveBot,1,73,0,2069
245,RandBot,424086940,424086941,AdaptiveBot,1,70,0,2079
246,RandBot,4239108718,4239108719,RandBot,1,73,0,2088
247,RandBot,3858502087,3858502088,AdaptiveBot,1,61,0,2098
248,RandBot,1231072921,1231072922,RandBot,3,79,0,2103
249,RandBot,850466290,850466291,RandBot,3,66,0,2108
250,RandBot,2617343307,2617343308,AdaptiveBot,1,76,0,2117
251,RandBot,4284881437,4284881438,AdaptiveBot,1,68,0,2126
252,RandBot,3904274806,3904274807,AdaptiveBot,1,68,0,2135
253,RandBot,1276845640,1276845641,AdaptiveBot,2,78,0,2144
254,RandBot,3043722657,3043722658,RandBot,3,74,0,2150
255,RandBot,416293491,416293492,AdaptiveBot,1,96,0,2158
256,RandBot,35686860,35686861,RandBot,1,86,0,2168
257,RandBot,3950047525,3950047526,RandBot,2,67,0,2175
258,RandBot,3470102007,3470102008,AdaptiveBot,2,80,0,2183
259,RandBot,3089495376,3089495377,AdaptiveBot,1,108,0,2192
260,RandBot,462066210,462066211,AdaptiveBot,2,75,0,2199
261,RandBot,81459579,81459580,AdaptiveBot,1,74,0,2209
262,RandBot,3896481357,3896481358,AdaptiveBot,2,121,0,2218
263,RandBot,3515874726,3515874727,AdaptiveBot,2,75,0,2227
264,RandBot,3135268095,3135268096,AdaptiveBot,1,63,0,2237
265,RandBot,507838929,507838930,AdaptiveBot,2,67,0,2244
266,RandBot,127232298,127232299,RandBot,2,73,0,2252
267,RandBot,3942254076,3942254077,AdaptiveBot,1,75,0,2262
268,RandBot,3561647445,3561647446,AdaptiveBot,1,70,0,2271
269,RandBot,3181040814,3181040815,AdaptiveBot,1,66,0,2281
270,RandBot,553611648,553611649,RandBot,2,71,0,2289
271,RandBot,2320488665,2320488666,AdaptiveBot,2,73,0,2297
272,RandBot,3988026795,3988026796,AdaptiveBot,1,60,0,2307
273,RandBot,3607420164,3607420165,AdaptiveBot,1,98,0,2316
274,RandBot,979990998,979990999,RandBot,2,74,0,2324
275,RandBot,2746868015,2746868016,AdaptiveBot,1,71,0,2334
276,RandBot,2366261384,2366261385,RandBot,1,81,0,2344
